,dataSet,accuracy_df,accuracy_rf,f1_df,f1_rf,precision_df,precision_rf,classes_type,data_std,time_cost,feature_num,data_num
37,breast-w,0.9642548818088386,0.9671017471736896,0.9645174729766566,0.9672349141289673,0.966037396924666,0.9681671497167802,2,0.1552217453505007,4.170097827911377,10,699
38,breast,0.964234326824255,0.9599588900308327,0.9643406858857748,0.9599519110633465,0.9650349065558304,0.9606366739214532,2,0.1552217453505007,3.919728994369507,11,699
39,buggyCrx,0.8797101449275363,0.8855072463768116,0.8797722616579934,0.885598038476617,0.8807519894346184,0.8865844569063721,2,0.05507246376811592,5.080831050872803,16,690
40,bupa,0.7072463768115942,0.7014492753623188,0.7005767026360317,0.6955779779489271,0.7153443344218424,0.7081669753926304,2,0.07971014492753625,4.266340255737305,7,345
41,calendarDOW,0.5712025316455696,0.6188924050632911,0.5778601233143343,0.6205074782551416,0.6074453179384744,0.6389846175059246,5,0.04737836550743696,8.580640077590942,33,399
42,car-evaluation,0.9901600067018513,0.9629655692385022,0.9901378750934537,0.9627134890808063,0.9908584275635816,0.9660197740966054,4,0.2705162827472604,8.964457988739014,22,1728
43,car,0.9878545698249142,0.971636089469716,0.987960189386421,0.9716196911984867,0.9887219610792741,0.9729572377250364,4,0.2705162827472604,8.034901142120361,7,1728
44,cars,0.9234339500162285,0.9234339500162287,0.9225717054392577,0.9218350390813452,0.9285138464964635,0.9262266077478725,3,0.2065574035037234,4.2398598194122314,9,392
45,cars1,0.8547549496916587,0.862317429406037,0.8548159759714107,0.860482229759681,0.8627517942993489,0.8672817375596145,3,0.2065574035037234,4.31753396987915,8,392
46,chess,0.9931157081377153,0.9915522300469484,0.9931153805050922,0.9915507060114891,0.9931579084243898,0.9916085801369914,2,0.02221526908635796,9.36030387878418,37,3196
47,churn,0.962,0.9561999999999999,0.9607587676353398,0.9538454488005534,0.9614358873708824,0.9559831278580211,2,0.35860000000000003,30.728277683258057,21,5000
48,clean1,0.991578947368421,0.9831798245614035,0.9915761453322748,0.9831484821461796,0.9917473684210526,0.9840725168912556,2,0.06512605042016806,7.85625696182251,169,476
49,clean2,0.9998483699772555,1.0,0.9998485271161733,1.0,0.9998491319371687,1.0,2,0.34586238254016366,37.303459882736206,169,6598
50,cleve,0.8315300546448088,0.8118032786885244,0.8308987071378402,0.8110670241243202,0.8333484828543277,0.8152027527005956,2,0.044554455445544566,4.322310924530029,14,303
51,cleveland-nominal,0.5378688524590164,0.5313661202185792,0.4835013133150932,0.5142786311788388,0.46540483128696797,0.5130254560893043,5,0.17618446436245985,6.3705058097839355,8,303
52,cleveland,0.5579781420765028,0.5710382513661203,0.512261896078664,0.513952398354582,0.5058696861359795,0.5009638903388136,5,0.17618446436245985,5.764738082885742,14,303
53,cloud,0.37056277056277054,0.3800865800865801,0.3569422233822539,0.3801506497915971,0.3874678604224059,0.45498168498168506,4,0.030709488799587036,4.417520046234131,8,108
54,cmc,0.5207171682232214,0.5179960797878473,0.5160933842382835,0.5129181694533506,0.5199898349922828,0.512872751969787,3,0.08259756282743058,13.376459836959839,10,1473
55,coil2000,0.9389131076942212,0.9281211942185807,0.9124083633376996,0.9106316233421283,0.9007808711686293,0.8976696403209111,2,0.4403380166972104,49.19842195510864,86,9822
56,colic,0.8423176601258792,0.826101443909663,0.8406107029287313,0.8225588735724279,0.8425861421424699,0.826183672243878,2,0.13043478260869568,5.965683937072754,23,368
57,collins,0.9938144329896907,0.9855670103092784,0.9937263194995154,0.9854926535913417,0.9952430044182622,0.9890230731467845,13,0.03950679540932035,6.567730903625488,24,485
58,confidence,0.819047619047619,0.8333333333333333,0.8169841269841269,0.8314285714285713,0.8607142857142855,0.8735714285714286,6,0.0,3.3578009605407715,4,72
59,connect-4,0.8285743105884954,0.8132095160582047,0.8101353267841798,0.785329434090411,0.8074829525702132,0.787541175834852,3,0.2378900548746909,361.7796437740326,43,67557
60,contraceptive,0.5207171682232214,0.5179960797878473,0.5160933842382835,0.5129181694533506,0.5199898349922828,0.512872751969787,3,0.08259756282743058,13.782283067703247,10,1473
61,corral,0.99375,1.0,0.9937684729064038,1.0,0.9941666666666666,1.0,2,0.0625,3.1951160430908203,7,160
62,credit-a,0.8666666666666666,0.8695652173913043,0.8669420837387678,0.8695625762096946,0.8708969915182733,0.872872151050907,2,0.05507246376811592,5.690064907073975,16,690
63,credit-g,0.768,0.752,0.7420963921084732,0.732723748259307,0.7604733583362133,0.7369223865634247,2,0.19999999999999998,7.013839960098267,21,1000
64,crx,0.8739130434782609,0.8695652173913043,0.8738476823452919,0.8694551407469922,0.8742558070161698,0.8706062427565566,2,0.05507246376811592,5.525738000869751,16,690
65,dermatology,0.9781562384302109,0.9726767863754165,0.9780888339680933,0.9722891594669747,0.9787062591857113,0.9739163048478117,6,0.07588220890325391,3.7406527996063232,35,366
66,diabetes,0.7605296664120192,0.750097614803497,0.756665193011648,0.7456074018413356,0.7569650909145226,0.7464119663155945,2,0.15104166666666666,6.925374984741211,9,768
67,dis,0.9862153284030425,0.9848897711103695,0.9846699748289597,0.9792513978818681,0.9838393163917314,0.9763399769668949,2,0.48462354188759277,14.065303087234497,30,3772
68,dna,0.9595119166547738,0.9548048011102199,0.9595302346357517,0.9547058288382508,0.9598487868527903,0.9549560307529337,3,0.13138983388358413,23.24270486831665,181,3186
69,ecoli,0.8899766899766901,0.8838694638694639,0.8872707568266197,0.8792758377335023,0.8972255606516739,0.8971117621694544,5,0.13203928332327855,3.859143018722534,8,327
70,flags,0.46571428571428564,0.5053968253968254,0.44746418315176184,0.49164596390731374,0.4784975038837083,0.5198501322310847,5,0.08382655035323365,5.051735877990723,44,178
71,flare,0.7823395199859593,0.8161247860997763,0.7563309267663543,0.7924211982519997,0.7394127888865304,0.7843977814359477,2,0.3292682926829268,7.981855869293213,11,1066
72,german,0.7649999999999999,0.745,0.7397215645033394,0.7259897973869905,0.7564804850337729,0.7284326277715143,2,0.19999999999999998,6.073661804199219,21,1000
73,glass,0.7902439024390244,0.7902439024390244,0.7718010752688171,0.7821787381714721,0.7717062982659902,0.8134861424244495,5,0.13034526064280377,3.6883602142333984,10,205
74,glass2,0.8770833333333332,0.8708333333333332,0.8766246667695988,0.8701737583313947,0.8851708606823697,0.8764226113826499,2,0.033742331288343586,4.317610025405884,10,163
75,haberman,0.7090428344791115,0.7056054997355896,0.6628233595218069,0.6762636914114146,0.6502096771769901,0.6781544415688269,2,0.23529411764705885,6.8879969120025635,4,306
76,hayes-roth,0.8125,0.8375,0.8125269637769638,0.8373091093342218,0.8357820855614972,0.8688167735042736,3,0.09873329675893988,4.7464258670806885,5,160
77,heart-c,0.8150273224043716,0.8184153005464481,0.815465234739088,0.8180362171160287,0.8266217945034487,0.8253471857953849,2,0.044554455445544566,3.940581798553467,14,303
78,heart-h,0.7858562244301578,0.7891291642314436,0.7777644904556944,0.7850972164134854,0.7947183247377214,0.7947465228571456,2,0.13945578231292519,5.171037912368774,14,294
79,heart-statlog,0.837037037037037,0.8185185185185185,0.8364803692909157,0.8174032171531666,0.8408190307474698,0.8216199315174215,2,0.05555555555555558,3.8590688705444336,14,270
80,hepatitis,0.8516129032258064,0.8387096774193548,0.8320711454319273,0.8200324477900585,0.8255950457360235,0.809410138248848,2,0.2935483870967742,3.3480257987976074,20,155
81,horse-colic,0.8425027767493521,0.8343576453165493,0.8402521901648828,0.8310049960979958,0.8422741275568992,0.8343615021716893,2,0.13043478260869568,3.9842898845672607,23,368
82,house-votes-84,0.9586206896551724,0.9563218390804596,0.9586666432400573,0.9563169823019699,0.9592269975695377,0.9569977247967232,2,0.11379310344827587,3.5525810718536377,17,435
83,hungarian,0.8298071303331385,0.816364699006429,0.8257341142757699,0.8116187843660206,0.8295996475474132,0.8213206625700826,2,0.13945578231292519,5.516287088394165,14,294
84,hypothyroid,0.9816625672405863,0.9813476113344132,0.9810247131646431,0.980743330130591,0.9818835326722098,0.9807106810354675,2,0.4522605121719886,10.449201822280884,26,3163
85,ionosphere,0.9345271629778672,0.9316700201207244,0.9333400637332101,0.9306646133775462,0.9359931356307756,0.932582786128546,2,0.14102564102564105,4.127079248428345,35,351
86,iris,0.96,0.96,0.9600253968253968,0.959668253968254,0.9612727272727273,0.963050505050505,3,0.0,3.6478021144866943,5,150
87,irish,1.0,1.0,1.0,1.0,1.0,1.0,2,0.05600000000000002,3.664243221282959,6,500
